audio_file|text|speaker_name
long\long_014_Kolumbusz_hajója_a_tizenötödik_században_épült_a_Santa_Maria.wav|Kolumbusz hajója a tizenötödik században épült, a Santa Maria, a tizenhat-tizenhetedik század, a Mayflower, amelyen, ugye a...|vago
long\long_015_Nem_is_kell_tovább_sétálni_odáig_hiszen_innen_viszont_igen.wav|Nem is kell tovább sétálni odáig, hiszen innen viszont igen.|vago
long\long_016_És_hogyha_ezt_tanítja_akkor_miért_járt_pénzügyi_és_számvitel.wav|És hogyha ezt tanítja, akkor miért járt pénzügyi és számviteli főiskolára is?|vago
long\long_017_Hát_ha_sok_minden_érdekli_akkor_itt_sok_mindennel_fog_találk.wav|Hát ha sok minden érdekli, akkor itt sok mindennel fog találkozni, ami esetleg kielégítheti a kíváncsiságát, de ez mind nem érdekes.|vago
long\long_018_Elképzelhető_hogy_itt_olyan_kérdések_is_lesznek_hogy_ezt_maj.wav|Elképzelhető, hogy itt olyan kérdések is lesznek, hogy ezt majd meg kell tudni magyarázni.|vago
long\long_019_Kedves_katalan_apu_anyu_jó_estét_kívánok_nekik_is.wav|Kedves katalan apu, anyu, jó estét kívánok nekik is!|vago
long\long_020_Pipogya_patyolat_pongyola_vagy_papucs_pitypang.wav|Pipogya, patyolat, pongyola vagy papucs pitypang?|vago
long\long_021_Vegyék_az_ölükbe_a_nyomógombokat_Legyenek_kedvesek_és_segíts.wav|Vegyék az ölükbe a nyomógombokat, Legyenek kedvesek és segítsenek Sándornak!|vago
long\long_022_Egészítse_ki_a_híres_novella_címét_Márió_és_a_varázshegy_vag.wav|Egészítse ki a híres novella címét Márió és a varázshegy vagy Márió és a varázsló?|vago
long\long_023_Márió_és_a_kiválasztott_vagy_Márió_és_a_Buddenbrook_ház.wav|Márió és a kiválasztott vagy Márió és a Buddenbrook ház?|vago
long\long_024_Rendben_van_megjelöljük_a_B-t_ugyanis_az_összes_még_Thomas_M.wav|Rendben van, megjelöljük a B-t, ugyanis az összes még Thomas Mann idézi, de ez valóban a Thomas Mann-i novella címe.|vago
long\long_025_A_telefonközpontot_a_képfestő_műhelyt_a_vasútállomást_vagy_a.wav|A telefonközpontot, a képfestő műhelyt, a vasútállomást vagy az automobil motorját?|vago
long\long_026_James_Cameron_Steven_Spielberg_Ron_Howard_vagy_Richard_Donne.wav|James Cameron, Steven Spielberg, Ron Howard vagy Richard Donner?|vago
long\long_027_Megvan_a_százezer_következik_a_hatodik_kérdés_kétszázezerért.wav|Megvan a százezer, következik a hatodik kérdés kétszázezerért.|vago
long\long_028_A_Saroltaban_a_Bánk_bán-ban_a_Dózsa_Györgyben_vagy_a_Hunyadi.wav|A Saroltaban, a Bánk bán-ban, a Dózsa Györgyben vagy a Hunyadi Lászlóban?|vago
long\long_029_énekel_Ti_ti_ti_ti_tiri_ti_ti_ti_ti_tiri_tim_tiri_ti_tiri_ti.wav|[énekel] Ti ti ti ti tiri ti ti ti ti tiri tim tiri ti tiri tiri rim.|vago
long\long_030_nevet_Vigyázzon_mert_amikor_válaszolnia_kell_akkor_ne_legyen.wav|[nevet] Vigyázzon, mert amikor válaszolnia kell, akkor ne legyen bizonytalan.|vago
long\long_031_Természetesen_megjelöljük_a_Hunyadi_Lászlót_és_akkor_lássuk_.wav|Természetesen megjelöljük a Hunyadi Lászlót, és akkor lássuk, hogy|vago
long\long_032_Hetedik_kérdés_háromszázezerért.wav|Hetedik kérdés háromszázezerért.|vago
long\long_033_Milyen_mára_elavult_jelentése_volt_évszázadokkal_ezelőtt_a_m.wav|Milyen, mára elavult jelentése volt évszázadokkal ezelőtt a marha szónak?|vago
long\long_034_Vagyon_család_ügyetlen_lovas_vagy_alattvaló_a_marha.wav|Vagyon, család, ügyetlen lovas vagy alattvaló a marha.|vago
long\long_035_Rendben_van_akkor_innentől_kezdve_megjelöljük_az_A-t_és_megn.wav|Rendben van, akkor innentől kezdve megjelöljük az A-t és megnézzük, jól tanulta-e.|vago
long\long_036_És_következik_a_nyolcadik_kérdés_ötszázezerért.wav|És következik a nyolcadik kérdés ötszázezerért.|vago
long\long_037_Mennyi_a_fény_terjedési_sebessége_levegőben_légüres_térben.wav|Mennyi a fény terjedési sebessége levegőben, légüres térben?|vago
long\long_038_Következik_a_kilencedik_nyolcszázezerért.wav|Következik a kilencedik nyolcszázezerért.|vago
long\long_039_Ökölvívás_súlylökés_súlyemelés_vagy_birkózás.wav|Ökölvívás, súlylökés, súlyemelés vagy birkózás?|vago
long\long_040_De_hát_tudomásul_kell_vennem_hogy_honnan_ez_így_látszik.wav|De hát tudomásul kell vennem, hogy honnan ez így látszik.|vago
long\long_041_De_hát.wav|De hát...|vago
long\long_042_Ugye_nagyon_erős_a_múltidő_ebben_a.wav|Ugye nagyon erős a múltidő ebben a...|vago
long\long_043_És_mielőtt_mi--_kérdezem_a_kedves_feleségét_most_hogy_már_el.wav|És mielőtt mi-- kérdezem a kedves feleségét, most, hogy már eldőlt, hogy kockáztatott, egyetért, hogy kockáztat?|vago
long\long_044_De_meg_is_van.wav|De meg is van!|vago
long\long_045_Hihetetlenül_kristálytiszta_logikával_mondta_el_amit_mondott.wav|Hihetetlenül kristálytiszta logikával mondta el, amit mondott.|vago
long\long_046_Ausztráliai_hüllő_macskaféle_futómadár_vagy_medúza.wav|Ausztráliai hüllő, macskaféle, futómadár vagy medúza?|vago
long\long_047_Hányszor_kell_körbejárnia_egy_iszlámhívőnek_Mekkában_a_Kába_.wav|Hányszor kell körbejárnia egy iszlámhívőnek Mekkában a Kába követ?|vago
long\long_048_De_aki_már_látta_azt_a_gomolygó_tömeget_a_Kába_kő_körül.wav|De aki már látta azt a gomolygó tömeget a Kába kő körül.|vago
long\long_049_Bocsánat_kérek_én_az_előbb_így_csináltam_ezzel_nem_a_számot_.wav|Bocsánat kérek, én az előbb így csináltam, ezzel nem a számot akartam jelezni, úgyhogy még egy kicsit csinálom.|vago
long\long_050_Majd_én_ezt_egyszer_vissza_fogom_nézni_de_nézzük_hogy_jó-e.wav|Majd én ezt egyszer vissza fogom nézni, de nézzük, hogy jó-e?|vago
long\long_051_Igen.wav|Igen.|vago
long\long_052_Na_hát_akkor_most_a_legendás_logikáját_figyelembe_véve_hogya.wav|Na hát akkor most a legendás logikáját figyelembe véve hogyan dönt?|vago
long\long_053_Szóval_GYES-en_lévő_kispapának_hárommillió_forint.wav|Szóval GYES-en lévő kispapának hárommillió forint|vago
long\long_054_Fantasztikus_logikával_hárommillió_forint_a_Raiffeisen_Bank_.wav|Fantasztikus logikával hárommillió forint, a Raiffeisen Bank aranykártyáján.|vago
long\long_055_Egy_telefonszámot_hogy_ha_gondolják_akkor_ezen_jelentkezhetn.wav|Egy telefonszámot, hogy ha gondolják, akkor ezen jelentkezhetnek hozzánk a nézők soraiba és e-mail címünket is nemsokára látják.|vago
very_long\very_long_001_alapító_atyák_mentek_Amerikába_D_1910-es_a_tragikus_sorsú_Ti.wav|alapító atyák mentek Amerikába, D, 1910-es a tragikus sorsú Titanic, és 1947 Kontiki.|vago
very_long\very_long_002_Harmincezer_méter_másodpercenként_vagy_százötvenezer_méter_m.wav|Harmincezer méter másodpercenként, vagy százötvenezer méter másodpercenként.|vago
very_long\very_long_003_Háromszor_hétszer_ötször_vagy_tízszer.wav|Háromszor, hétszer, ötször vagy tízszer?|vago
very_long\very_long_004_Ebből_is_az_következik_kedves_nézők_hogy_a_rokonok_a_nyelvro.wav|Ebből is az következik, kedves nézők, hogy a rokonok, a nyelvrokonok kultúráját érdemes ám tanulmányozni, mert mert nagyon nevezetes zeneszerzőről van szó.|vago
